id,shape,d_size,color,clarity,cut,polish,sym,flour,m1,m2,m3,d_depth,d_table,d_ref,reportNo,detail,disc,rate,location,certNo,milky,eyeClean,browness,isbuy,los,isdisp,cert,types,disc1,oldRef,rap,update_time,sys_status,green,up_file_name,is_sh,certificate,daylight,order_by,is_size_normal,black,is_bgm,bt,bc,wt,wc,temp,order_tj,order_sx,rate_add,count_rate,insert_type,currentPage,pageSize,totalPage,totalRecord,shape_en,location_en,is_own_filter_stock,num_all,isown,app_check_code,sign,sessionkey,status,girdle,video,cgno,remark,disc2,rate1
4348518015,圆形,0.45,E,VVS1,EX,EX,EX,NON,4.88 X 4.85 X 3.07,,,63.2,57.0,6901592,6345782407,91873,-91.98,2850.9030000000002,香港,6345782407,无奶,-,无咖,1,www.zuansoft.com,1,GIA,,2.0,IHKGZHL,3300.0,"Jun 28, 2020 12:09:04 PM",0,,91873 0628.xlsx,0,,,0,1,N,0,BT0,BC0,WT0,WC0,4.88 ,0,0,0.0,2850.9030000000002,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,,http://www.vidpicture.com/show_images.asp?Stock_ID=501152,,,,
4350838275,圆形,0.45,E,VVS1,EX,EX,EX,NON,4.92,4.88,3.04,62.2,58,100729984786,6352132706,62919,-92.0,2851.2000000000003,香港,6352132706,无奶,-,无咖,1,diamonds.kirangems.com,1,GIA,,0.0,GKKULHHD2UDI,3300.0,"Jun 28, 2020 10:20:09 PM",0,,kirangems接口导入,0,https://photo.diamondasset.in:8080/Picture/6352132706.pdf,,0,1,N,0,BT0,BC0,-,-,4.92,0,0,0.0,2851.2000000000003,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,MED to STK,,,,,
4350065988,圆形,0.45,E,VVS1,EX,EX,EX,NON,4.88 X 4.92 X 3.09,,,63.0,56,6341815909,6341815909,195830,-92.0,2851.2000000000003,深圳,6341815909,无奶,EC0,无咖,1,www.jumpgia.com,1,GIA,,1.0,IV2GDGZHKH,3300.0,"Jun 28, 2020 6:29:50 PM",5,N,jumpgia接口导入,0,,,0,1,N,1,-,-,-,-, 4.92 ,0,0,0.0,2851.2000000000003,1,0,0,0,0,ROUND,SZ,True,0,False,0,,,1,,,,,,
4350519882,圆形,0.45,E,VVS1,EX,EX,EX,NON,4.90X4.93X3.04,,,61.90,59.00,F202-14A,7353250292,97085,-92.0,2851.2000000000003,孟买,7353250292,无奶,EC0,无咖,1,ratnakala.dotnodecoders.com,1,GIA,,0.0,FLKL-G2A,3300.0,"Jun 28, 2020 9:11:02 PM",0,,dotnodecoders接口导入,0,,,0,1,N,0,BT0,BC0,-,-,4.93,0,0,0.0,2851.2000000000003,1,0,0,0,0,ROUND,MUMBAI,True,0,False,0,,,,,https://v360.in/Excellent/vision360.html?d=F202-14A,,,,
4350519144,圆形,0.45,E,VVS1,EX,EX,EX,NON,4.86X4.90X3.07,,,62.90,59.00,F190-312A,1357250328,97085,-92.0,2851.2000000000003,孟买,1357250328,无奶,EC0,无咖,1,ratnakala.dotnodecoders.com,1,GIA,,0.0,FGHK-VGLA,3300.0,"Jun 28, 2020 9:10:54 PM",0,,dotnodecoders接口导入,0,,,0,1,N,0,BT0,BC0,-,-,4.90,0,0,0.0,2851.2000000000003,1,0,0,0,0,ROUND,MUMBAI,True,0,False,0,,,,,https://v360.in/Excellent/vision360.html?d=F190-312A,,,,
4348318845,圆形,0.45,E,VVS1,EX,EX,EX,NON,4.89,4.87,3.05,62.39,56.0,9637676,7338142475,70860,-92.0,2851.2000000000003,香港,7338142475,N,-,N,1,www.zuansoft.com,1,GIA,,0.0,HIVUIUI,3300.0,"Jun 28, 2020 11:14:12 AM",0,N,70860 0628.xlsx,0,,,0,1,N,1,-,-,-,-,4.89,0,0,0.0,2851.2000000000003,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,,,,,,
4348318848,圆形,0.45,E,VVS1,EX,EX,EX,NON,4.88,4.89,3.06,62.6,56.0,7542583,6251432573,70860,-92.0,2851.2000000000003,香港,6251432573,N,-,N,1,www.zuansoft.com,1,GIA,,0.0,UZ2LZDV,3300.0,"Jun 28, 2020 11:14:12 AM",0,N,70860 0628.xlsx,0,,,0,1,N,1,-,-,-,-,4.89,0,0,0.0,2851.2000000000003,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,,,,,,
4348318849,圆形,0.45,E,VVS1,EX,EX,EX,NON,4.88,4.92,3.06,62.5,57.0,8165191,2181859182,70860,-92.0,2851.2000000000003,香港,2181859182,N,-,N,1,www.zuansoft.com,1,GIA,,0.0,DGIZGHG,3300.0,"Jun 28, 2020 11:14:12 AM",0,N,70860 0628.xlsx,0,,,0,1,N,1,-,-,-,-,4.92,0,0,0.0,2851.2000000000003,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,,,,,,
4348318850,圆形,0.45,E,VVS1,EX,EX,EX,NON,4.85,4.88,3.06,62.79,56.0,8435826,7282186121,70860,-92.0,2851.2000000000003,香港,7282186121,N,-,N,1,www.zuansoft.com,1,GIA,,0.0,D2VZDLI,3300.0,"Jun 28, 2020 11:14:12 AM",0,N,70860 0628.xlsx,0,,,0,1,N,1,-,-,-,-,4.88,0,0,0.0,2851.2000000000003,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,,,,,,
4350509894,圆形,0.46,E,VVS1,EX,EX,EX,NON,4.90X4.93X3.08,,,62.70,57.00,F141-218A,6342947177,97085,-88.0,2853.84,孟买,6342947177,无奶,EC0,无咖,1,ratnakala.dotnodecoders.com,1,GIA,,0.0,FG2G-LGDA,3300.0,"Jun 28, 2020 9:09:43 PM",0,,dotnodecoders接口导入,0,,,0,1,N,0,BT0,BC0,-,-,4.93,0,0,0.0,2853.84,1,0,0,0,0,ROUND,MUMBAI,True,0,False,0,,,,,https://v360.in/Excellent/vision360.html?d=F141-218A,,,,
4350847827,圆形,0.46,E,VVS1,EX,EX,EX,NON,4.92,4.88,3.08,62.8,56,100731407956,2347319851,62919,-88.0,2853.84,香港,2347319851,无奶,-,无咖,1,diamonds.kirangems.com,1,GIA,,0.0,GKKUVG2KUHZI,3300.0,"Jun 28, 2020 10:22:39 PM",0,,kirangems接口导入,0,https://photo.diamondasset.in:8080/Picture/2347319851.pdf,,0,1,N,0,BT0,BC0,-,-,4.92,0,0,0.0,2853.84,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,THN to STK,,,,,
4348477599,圆形,0.46,E,VVS1,EX,EX,EX,NON,4.93,4.89,3.1,63.0,56.0,RRR2018,2347348304,74841,-88.0,2853.84,印度,2347348304,无奶,EC0,无咖,1,www.zuansoft.com,1,GIA,,0.0,RRRLKGD,3300.0,"Jun 28, 2020 12:00:27 PM",0,,74841 0628.xls,0,,,0,1,N,0,B0,-,W1,-,4.93,0,0,0.0,2853.84,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,,,,,,,
4350510055,圆形,0.46,E,VVS1,EX,EX,EX,NON,4.88X4.92X3.09,,,63.10,58.00,F142-300A,6345983350,97085,-88.0,2853.84,孟买,6345983350,无奶,EC0,无咖,1,ratnakala.dotnodecoders.com,1,GIA,,0.0,FG2L-VKKA,3300.0,"Jun 28, 2020 9:09:44 PM",0,,dotnodecoders接口导入,0,,,0,1,N,0,BT0,BC0,-,-,4.92,0,0,0.0,2853.84,1,0,0,0,0,ROUND,MUMBAI,True,0,False,0,,,,,https://v360.in/Excellent/vision360.html?d=F142-300A,,,,
4350880833,圆形,0.45,D,VVS2,EX,EX,EX,NON,4.92,4.89,3.02,61.5,59,100735990403,7352244164,62919,-98.5,2858.4,印度,7352244164,无奶,-,无咖,1,diamonds.kirangems.com,1,GIA,,0.0,GKKUVZHHK2KV,3200.0,"Jun 28, 2020 10:26:27 PM",0,,kirangems接口导入,0,https://photo.diamondasset.in:8080/Picture/7352244164.pdf,https://photo.diamondasset.in:8080/imagesM/7352244164.jpg,0,1,N,0,BT0,BC0,-,-,4.92,0,0,0.0,2858.4,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,,MED to STK,https://photo.diamondasset.in/photo/appVideo.jsp?idv=7352244164,,,,
